Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
TRPS1		8q23.3	AMP	587	2173	27.0%	No
LINC00536		8q23.3	AMP	559	2173	25.7%	No
CASC11		8q24.21	AMP	555	2173	25.5%	No
MYC		8q24.21	AMP	554	2173	25.5%	Yes
MIR205HG		1q32.2	AMP	552	2173	25.4%	No
POU5F1B		8q24.21	AMP	551	2173	25.4%	No
CASC8		8q24.21	AMP	550	2173	25.3%	No
PLEKHA6		1q32.1	AMP	547	2173	25.2%	No
MDM4		1q32.1	AMP	545	2173	25.1%	Yes
LRRN2		1q32.1	AMP	545	2173	25.1%	No
EIF3H		8q23.3-q24.11	AMP	544	2173	25.0%	No
LEMD1-AS1		1q32.1	AMP	544	2173	25.0%	No
CDK18		1q32.1	AMP	543	2173	25.0%	No
PIK3C2B		1q32.1	AMP	543	2173	25.0%	Yes
PVT1		8q24.21	AMP	543	2173	25.0%	No
KLHDC8A		1q32.1	AMP	543	2173	25.0%	No
CAMK1G		1q32.2	AMP	543	2173	25.0%	No
PPP1R15B		1q32.1	AMP	543	2173	25.0%	No
LEMD1		1q32.1	AMP	543	2173	25.0%	No
MFSD4A		1q32.1	AMP	542	2173	24.9%	No
ELK4		1q32.1	AMP	541	2173	24.9%	Yes
NFASC		1q32.1	AMP	541	2173	24.9%	No
UTP23		8q24.11	AMP	541	2173	24.9%	No
PLXNA2		1q32.2	AMP	540	2173	24.9%	No
RAD21		8q24.11	AMP	540	2173	24.9%	Yes
MAL2		8q24.12	AMP	540	2173	24.9%	No
RAD21-AS1		8q24.11	AMP	540	2173	24.9%	No
KISS1		1q32.1	AMP	539	2173	24.8%	No
NUCKS1		1q32.1	AMP	539	2173	24.8%	No
GOLT1A		1q32.1	AMP	539	2173	24.8%	No
SLC30A8		8q24.11	AMP	539	2173	24.8%	No
AARD		8q24.11	AMP	539	2173	24.8%	No
CCAT1		8q24.21	AMP	539	2173	24.8%	No
LAMB3		1q32.2	AMP	538	2173	24.8%	No
REN		1q32.1	AMP	538	2173	24.8%	No
SIPA1L2		1q42.2	AMP	538	2173	24.8%	No
NUAK2		1q32.1	AMP	538	2173	24.8%	No
SLC45A3		1q32.1	AMP	538	2173	24.8%	Yes
SAMD12		8q24.11-q24.12	AMP	538	2173	24.8%	No
CASC19		8q24.21	AMP	538	2173	24.8%	No
SOX13		1q32.1	AMP	537	2173	24.7%	No
TMCC2		1q32.1	AMP	537	2173	24.7%	No
ETNK2		1q32.1	AMP	537	2173	24.7%	No
PM20D1		1q32.1	AMP	537	2173	24.7%	No
SLC41A1		1q32.1	AMP	537	2173	24.7%	No
ESRRG		1q41	AMP	536	2173	24.7%	No
HSD11B1		1q32.2	AMP	536	2173	24.7%	No
TNFRSF11B		8q24.12	AMP	536	2173	24.7%	No
CNTN2		1q32.1	AMP	536	2173	24.7%	No
G0S2		1q32.2	AMP	536	2173	24.7%	No
RBBP5		1q32.1	AMP	535	2173	24.6%	No
SLC26A9		1q32.1	AMP	535	2173	24.6%	No
TMEM81		1q32.1	AMP	535	2173	24.6%	No
COLEC10		8q24.12	AMP	534	2173	24.6%	No
DSTYK		1q32.1	AMP	534	2173	24.6%	No
TMEM75		8q24.21	AMP	534	2173	24.6%	No
CD34		1q32.2	AMP	533	2173	24.5%	No
SNTB1		8q24.12	AMP	533	2173	24.5%	No
MED30		8q24.11	AMP	533	2173	24.5%	No
AVPR1B		1q32.1	AMP	532	2173	24.5%	No
CTSE		1q32.1	AMP	532	2173	24.5%	No
CD46		1q32.2	AMP	532	2173	24.5%	No
RHEX		1q32.1	AMP	532	2173	24.5%	No
FAM72A		1q32.1	AMP	532	2173	24.5%	No
CCN3		8q24.12	AMP	531	2173	24.4%	No
MTBP		8q24.12	AMP	531	2173	24.4%	No
PCAT2		8q24.21	AMP	531	2173	24.4%	No
CR1L		1q32.2	AMP	530	2173	24.4%	No
EXT1		8q24.11	AMP	530	2173	24.4%	Yes
IKBKE		1q32.1	AMP	530	2173	24.4%	Yes
FCAMR		1q32.1	AMP	530	2173	24.4%	No
LINC00303		1q32.1	AMP	530	2173	24.4%	No
PCAT1		8q24.21	AMP	530	2173	24.4%	No
PRNCR1		8q24.21	AMP	530	2173	24.4%	No
C4BPA		1q32.2	AMP	529	2173	24.3%	No
CR1		1q32.2	AMP	529	2173	24.3%	No
PIGR		1q32.1	AMP	529	2173	24.3%	No
SRGAP2		1q32.1	AMP	529	2173	24.3%	No
RASSF5		1q32.1	AMP	529	2173	24.3%	No
ATP2B4		1q32.1	AMP	528	2173	24.3%	No
C4BPB		1q32.1	AMP	528	2173	24.3%	No
EIF2D		1q32.1	AMP	528	2173	24.3%	No
IL10		1q32.1	AMP	528	2173	24.3%	Yes
IL24		1q32.1	AMP	528	2173	24.3%	No
MRPL13		8q24.12	AMP	528	2173	24.3%	No
IL19		1q32.1	AMP	528	2173	24.3%	No
SRGAP2-AS1		1p11.2	AMP	528	2173	24.3%	No
FMOD		1q32.1	AMP	527	2173	24.3%	No
PFKFB2		1q32.1	AMP	527	2173	24.3%	No
PRELP		1q32.1	AMP	527	2173	24.3%	No
COL14A1		8q24.12	AMP	527	2173	24.3%	No
MAPKAPK2		1q32.1	AMP	527	2173	24.3%	No
OPTC		1q32.1	AMP	527	2173	24.3%	No
IL20		1q32.1	AMP	527	2173	24.3%	No
MAP10		1q42.2	AMP	527	2173	24.3%	No
LAX1		1q32.1	AMP	527	2173	24.3%	No
YOD1		1q32.1	AMP	527	2173	24.3%	No
C1ORF116		1q32.1	AMP	527	2173	24.3%	No
TRAF3IP3		1q32.2	AMP	527	2173	24.3%	No
ZBED6		1q32.1	AMP	527	2173	24.3%	No
CR2		1q32.2	AMP	526	2173	24.2%	No
BTG2		1q32.1	AMP	526	2173	24.2%	Yes
DYRK3		1q32.1	AMP	526	2173	24.2%	No
ZC3H11A		1q32.1	AMP	526	2173	24.2%	No
LINC01136		1q32.1	AMP	526	2173	24.2%	No
CD55		1q32.2	AMP	525	2173	24.2%	No
SNRPE		1q32.1	AMP	525	2173	24.2%	No
USH2A		1q41	AMP	525	2173	24.2%	No
DEPTOR		8q24.12	AMP	525	2173	24.2%	No
C1ORF74		1q32.2	AMP	525	2173	24.2%	No
SNORA77		1q32.1	AMP	525	2173	24.2%	No
CHIT1		1q32.1	AMP	524	2173	24.1%	No
ENPP2		8q24.12	AMP	524	2173	24.1%	No
RYR2		1q43	AMP	524	2173	24.1%	No
NTPCR		1q42.2	AMP	524	2173	24.1%	No
CSMD3		8q23.3	AMP	524	2173	24.1%	No
HAS2		8q24.13	AMP	523	2173	24.1%	No
DISC1		1q42.2	AMP	523	2173	24.1%	No
