Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
PVT1		8q24.21	AMP	174	816	21.3%	No
MYC	0	8q24.21	AMP	173	816	21.2%	Yes
CASC8		8q24.21	AMP	172	816	21.1%	No
POU5F1B		8q24.21	AMP	171	816	21.0%	No
TMEM75		8q24.21	AMP	166	816	20.3%	No
CCAT1		8q24.21	AMP	164	816	20.1%	No
PCAT1		8q24.21	AMP	161	816	19.7%	No
PCAT2		8q24.21	AMP	161	816	19.7%	No
TRPS1		8q23.3	AMP	160	816	19.6%	No
SLC30A8		8q24.11	AMP	160	816	19.6%	No
NSMCE2		8q24.13	AMP	160	816	19.6%	No
LINC00861		8q24.13	AMP	160	816	19.6%	No
LINC00536		8q23.3	AMP	160	816	19.6%	No
LRATD2		8q24.21	AMP	159	816	19.5%	No
MTSS1		8q24.13	AMP	158	816	19.4%	No
EIF3H		8q23.3-q24.11	AMP	157	816	19.2%	No
WASHC5		8q24.13	AMP	157	816	19.2%	No
TRIB1		8q24.13	AMP	157	816	19.2%	No
LINC00964		8q24.13	AMP	157	816	19.2%	No
RNA5SP276		8q23.3	AMP	157	816	19.2%	No
UTP23		8q24.11	AMP	156	816	19.1%	No
NDUFB9		8q24.13	AMP	155	816	19.0%	No
RAD21		8q24.11	AMP	155	816	19.0%	Yes
SQLE		8q24.13	AMP	155	816	19.0%	No
COLEC10		8q24.12	AMP	155	816	19.0%	No
TATDN1		8q24.13	AMP	155	816	19.0%	No
MED30		8q24.11	AMP	155	816	19.0%	No
ZNF572		8q24.13	AMP	155	816	19.0%	No
AARD		8q24.11	AMP	155	816	19.0%	No
FER1L6		8q24.13	AMP	155	816	19.0%	No
EXT1		8q24.11	AMP	154	816	18.9%	Yes
RNF139		8q24.13	AMP	154	816	18.9%	No
TRMT12		8q24.13	AMP	154	816	18.9%	No
MAL2		8q24.12	AMP	154	816	18.9%	No
FAM91A1		8q24.13	AMP	154	816	18.9%	No
SAMD12		8q24.11-q24.12	AMP	154	816	18.9%	No
ANXA13		8q24.13	AMP	153	816	18.8%	No
ATAD2		8q24.13	AMP	153	816	18.8%	No
TMEM65		8q24.13	AMP	153	816	18.8%	No
KLHL38		8q24.13	AMP	153	816	18.8%	No
TNFRSF11B		8q24.12	AMP	152	816	18.6%	No
HAS2		8q24.13	AMP	151	816	18.5%	No
CCN3		8q24.12	AMP	151	816	18.5%	No
WDYHV1		8q24.13	AMP	151	816	18.5%	No
