ABAT	7.6	4.9	0.159	0.474
MRPL58	5.71	0	0.0686	0.695
ATP5F1E	7.65	0	0.519	0.927
MCRIP2	7.97	0	0.234	0.467
PLPBP	13.96	0	0.198	0.0529
POLDIP2	5	3.6	0.000001333	0.106
LIPT2	5.1	4.2	0.162	0.779
UQCRC2	5.9	4.2	0.0226	0.136
EARS2	5.9	4.3	0.0567	0.314
LYRM1	5.9	4.3	0.0424	0.314
NDUFAB1	5.9	4.3	0.0495	0.306
TUFM	6	4.3	0.286	0.314
COQ7	6.1	4.3	0.126	0.174
ACSM2A	6.2	4.3	0.0542	0.0842
ACSM5	6.3	4.3	0.0441	0.163
ACSM3	6.2	4.4	0.0782	0.184
ACSM1	6.3	4.4	0.046	0.167
KIAA0100	5.3	4.5	0.0001387	0.165
COX6A2	5.7	4.5	0.317	0.43
RPS15A	6	4.5	0.117	0.0947
MPV17L	6.3	4.5	0.0898	0.0964
ERAL1	5.5	4.9	0.0001151	0.739
BCKDK	5.8	4.9	0.347	0.37
TRAP1	7	4.9	0.0742	0.52
TMEM186	7.6	4.9	0.159	0.715
RHOT2	8	4.9	0.222	0.473
DNAJA3	7.4	5	0.0942	0.664
PAM16	7.4	5	0.118	0.882
MRPL28	8	5	0.241	0.479
NME4	8	5	0.241	0.479
MFN1	4.1	5.1	0.0594	0.28
PC	4.7	5.1	0.112	0.13
FAHD1	7.5	5.1	0.104	0.439
HAGH	7.5	5.1	0.104	0.419
MRPS34	7.7	5.1	0.0672	0.235
NME3	7.7	5.1	0.0672	0.419
C16orf91	7.9	5.1	0.0957	0.498
NTHL1	7.4	5.3	0.179	0.254
GFER	7.5	5.3	0.162	0.255
NDUFB10	7.5	5.3	0.162	0.241
CLPB	3.9	5.4	0.997	0.966
ECI1	7.4	5.4	0.179	0.121
PYCR1	4.4	5.5	0.242	0.422
P4HB	4.5	5.5	0.17	0.366
FASN	4.4	5.6	0.428	0.324
DCXR	4.5	5.6	0.349	0.365
FDXR	5.8	5.6	0.0261	0.769
MRPL45	6.3	5.6	0.0962	0.0599
NDUFAF8	4.61	5.75	0.0603	0.399
ATP5PD	5.71	5.75	0.0686	0.652
MRPL12	4.6	5.8	0.0644	0.409
OXLD1	4.6	5.8	0.0539	0.409
ACOX1	6.1	5.8	0.0319	0.834
FAM210B	6.2	5.8	0.313	0.652
ATP5MC1	4.84	5.88	0.0353	0.226
SLC25A10	4.5	5.9	0.0927	0.405
NDUFS8	5.3	5.9	0.606	0.421
TCIRG1	5.4	5.9	0.521	0.411
NT5C	5.6	5.9	0.127	0.65
MRPL38	6.2	6	0.0184	0.722
MRPS7	5.8	6.1	0.143	0.664
SLC25A19	5.9	6.1	0.158	0.929
CISD3	8	6.1	0.0628	0.129
PGS1	5.7	6.3	0.004071	0.248
ABCA9	7.1	6.3	0.834	0.921
MRPL15	12.4	6.7	0.0379	0.537
NUDT8	5.4	6.9	0.344	0.364
NDUFV1	5.5	6.9	0.278	0.317
LYPLA1	12.4	6.9	0.0379	0.619
CHCHD7	12.8	7	0.0159	0.207
MTG2	7.3	7.1	0.00286	0.358
NARS2	7.8	7.1	0.115	0.76
PRELID3B	0	7.34	1	0.931
PDK2	6.5	7.7	0.047	0.468
RSAD1	6.5	7.7	0.104	0.548
