"","hg19_Chromosome","hg19_Start","hg19_Stop","Symbol","EnsemblGeneID","MCARTA2.0_score"
"1","chr8",145149930,145152428,"CYC1","ENSG00000179091",43.6442
"2","chr1",17345217,17380665,"SDHB","ENSG00000117118",43.2272
"3","chr16",19078921,19091417,"COQ7","ENSG00000167186",43.1028
"4","chr5",218356,256815,"SDHA","ENSG00000073578",42.9701
"5","chr3",48636435,48648409,"UQCRC1","ENSG00000010256",42.9037
"6","chr12",120941077,120972237,"COQ5","ENSG00000110871",42.6477
"7","chrX",19362011,19379823,"PDHA1","ENSG00000131828",42.5705
"8","chr16",57481337,57495187,"COQ9","ENSG00000088682",42.301
"9","chr17",79670387,79674556,"MRPL12","ENSG00000262814",42.0393
"10","chr19",1241749,1244824,"ATP5D","ENSG00000099624",42.0165
"11","chr15",75212132,75230509,"COX5A","ENSG00000178741",41.9796
"12","chr14",74960423,74963809,"ISCA2","ENSG00000165898",41.9677
"13","chr7",102937869,102969958,"PMPCB","ENSG00000105819",41.6397
"14","chr19",29698173,29704448,"UQCRFS1","ENSG00000169021",40.7667
"15","chr18",43664110,43684300,"ATP5A1","ENSG00000152234",40.7095
"16","chr7",44646171,44748665,"OGDH","ENSG00000105953",40.5677
"17","chr3",58413357,58419584,"PDHB","ENSG00000168291",40.5677
"18","chr16",21963981,21994981,"UQCRC2","ENSG00000140740",40.5677
"19","chr11",111957497,111990353,"SDHD","ENSG00000204370",40.1392
"20","chr12",27863706,27909228,"MRPS35","ENSG00000061794",39.6435
"21","chr5",132202252,132203723,"UQCRQ","ENSG00000164405",39.3103
"22","chr2",74699085,74700449,"MRPL53","ENSG00000204822",39.3103
"23","chr1",100652475,100715390,"DBT","ENSG00000137992",39.2448
"24","chr7",95212811,95225803,"PDK4","ENSG00000004799",38.7139
"25","chr7",75677369,75696826,"MDH2","ENSG00000146701",38.3734
"26","chr5",71515236,71616473,"MRPS27","ENSG00000113048",38.3207
"27","chr12",56665483,56694176,"CS","ENSG00000062485",37.826
"28","chr4",7060633,7069924,"GRPEL1","ENSG00000109519",37.8199
"29","chr11",111895538,111935114,"DLAT","ENSG00000150768",37.7551
"30","chr2",44113647,44223144,"LRPPRC","ENSG00000138095",37.7054
"31","chr14",75348594,75370448,"DLST","ENSG00000119689",37.6758
"32","chr11",34937376,35042138,"PDHX","ENSG00000110435",37.6758
"33","chr3",158362067,158410364,"GFM1","ENSG00000168827",37.4426
"34","chr1",167885967,167906278,"MPC2","ENSG00000143158",37.3563
"35","chr2",206979541,207024327,"NDUFS1","ENSG00000023228",36.8031
"36","chr15",89002707,89010650,"MRPL46","ENSG00000259494",36.7746
"37","chr20",57600522,57607437,"ATP5E","ENSG00000124172",36.4978
"38","chr12",98987369,98995946,"SLC25A3","ENSG00000075415",36.4978
"39","chr17",55916842,55927417,"MRPS23","ENSG00000181610",36.0922
"40","chr1",241660903,241683061,"FH","ENSG00000091483",35.7616
"41","chr9",139305110,139318213,"PMPCA","ENSG00000165688",35.653
"42","chr12",57031959,57039798,"ATP5B","ENSG00000110955",35.6372
"43","chr6",71276620,71299272,"C6orf57","ENSG00000154079",35.5098
"44","chr22",30163358,30166402,"UQCR10","ENSG00000184076",35.3274
"45","chr9",88879461,88897676,"ISCA1","ENSG00000135070",35.264
"46","chr13",48510622,48612125,"SUCLA2","ENSG00000136143",34.9705
"47","chr6",99817276,99842080,"COQ3","ENSG00000132423",34.8329
"48","chr1",220267444,220321380,"IARS2","ENSG00000067704",34.7064
"49","chr1",36921319,36930038,"MRPS15","ENSG00000116898",34.6309
"50","chr15",78423840,78464291,"IDH3A","ENSG00000166411",34.6301
"51","chr17",53029263,53046146,"COX11","ENSG00000166260",34.5801
"52","chr4",159593277,159630775,"ETFDH","ENSG00000171503",34.3966
"53","chr11",57295936,57298276,"TIMM10","ENSG00000134809",34.3966
"54","chr19",17403418,17417652,"MRPL34","ENSG00000130312",34.3813
"55","chr6",43021767,43027544,"MRPL2","ENSG00000112651",34.3013
"56","chr19",41884215,41930910,"BCKDHA","ENSG00000248098",34.1724
"57","chr1",46769303,46782448,"UQCRH","ENSG00000173660",34.0633
"58","chr5",175815748,175816772,"HIGD2A","ENSG00000146066",34.0633
"59","chr21",35275757,35288284,"ATP5O","ENSG00000241837",34
"60","chr10",135175984,135187193,"ECHS1","ENSG00000127884",33.7065
"61","chr12",51441745,51454207,"LETMD1","ENSG00000050426",33.7052
"62","chr12",120875893,120878545,"COX6A1","ENSG00000111775",33.6921
"63","chr10",101471601,101491857,"COX15","ENSG00000014919",33.6546
"64","chr18",12328943,12377313,"AFG3L2","ENSG00000141385",33.6065
"65","chr2",26413504,26467594,"HADHA","ENSG00000084754",33.5571
"66","chr15",76507696,76603813,"ETFA","ENSG00000140374",33.492
"67","chr19",1383526,1395583,"NDUFS7","ENSG00000115286",33.0033
"68","chr1",53662101,53679869,"CPT2","ENSG00000157184",32.7824
"69","chr6",80816364,81055987,"BCKDHB","ENSG00000083123",32.7672
"70","chr20",2639041,2644865,"IDH3B","ENSG00000101365",32.7553
"71","chr3",45429998,45590913,"LARS2","ENSG00000011376",32.7536
"72","chr12",121163538,121177811,"ACADS","ENSG00000122971",32.6104
"73","chr4",1813206,1857974,"LETM1","ENSG00000168924",32.4912
"74","chr4",666225,668127,"ATP5I","ENSG00000169020",32.2839
"75","chr3",193310933,193415612,"OPA1","ENSG00000198836",32.228
"76","chr9",93976097,94124195,"AUH","ENSG00000148090",32.2168
"77","chr2",84650647,84687169,"SUCLG1","ENSG00000163541",32.1445
"78","chr18",9102628,9134343,"NDUFV2","ENSG00000178127",32.0934
"79","chr14",74416629,74430373,"COQ6","ENSG00000119723",31.9639
"80","chr10",102729215,102747272,"MRPL43","ENSG00000055950",31.8312
"81","chr7",73150424,73153197,"ABHD11","ENSG00000106077",31.7324
"82","chr21",27088815,27107984,"ATP5J","ENSG00000154723",31.6796
"83","chr10",102267203,102289757,"NDUFB8","ENSG00000166136",31.6796
"84","chr19",5691845,5720583,"LONP1","ENSG00000196365",31.5043
"85","chr7",107531415,107572175,"DLD","ENSG00000091140",31.2307
"86","chrX",129263337,129299861,"AIFM1","ENSG00000156709",31.2095
"87","chr10",11784365,11806069,"ECHDC3","ENSG00000134463",31.1711
"88","chrX",84258832,84343069,"APOOL","ENSG00000155008",31.1443
"89","chr17",45900638,45908900,"MRPL10","ENSG00000159111",30.9719
"90","chr9",125026882,125085743,"MRRF","ENSG00000148187",30.7726
"91","chr11",67798084,67804111,"NDUFS8","ENSG00000110717",30.6672
"92","chr1",76190036,76253260,"ACADM","ENSG00000117054",30.6075
"93","chr2",86371055,86422893,"IMMT","ENSG00000132305",30.5541
"94","chr14",58875212,58894332,"TIMM9","ENSG00000100575",30.4044
"95","chr4",186064395,186071536,"SLC25A4","ENSG00000151729",30.384
"96","chr22",44351301,44406411,"SAMM50","ENSG00000100347",30.355
"97","chr1",161166894,161184185,"NDUFS2","ENSG00000158864",30.334
"98","chr11",67374323,67380006,"NDUFV1","ENSG00000167792",30.334
"99","chr22",41865129,41924993,"ACO2","ENSG00000100412",30.2787
"100","chr10",70939988,70968855,"SUPV3L1","ENSG00000156502",30.2238
"101","chr18",55215515,55254004,"FECH","ENSG00000066926",30.2083
"102","chr2",55463731,55496483,"MTIF2","ENSG00000085760",30.1806
"103","chr17",47481414,47492246,"PHB","ENSG00000167085",29.7824
"104","chr2",191054461,191208919,"HIBCH","ENSG00000198130",29.7511
"105","chr9",138391830,138396519,"MRPS2","ENSG00000122140",29.6278
"106","chr5",137890571,137911133,"HSPA9","ENSG00000113013",29.5541
"107","chr9",136218610,136223552,"SURF1","ENSG00000148290",29.5209
"108","chr10",120927215,120938345,"PRDX3","ENSG00000165672",29.4787
"109","chr10",85899196,85913001,"GHITM","ENSG00000165678",29.3618
"110","chr4",44680444,44702943,"GUF1","ENSG00000151806",29.2547
"111","chr19",2425622,2427892,"TIMM13","ENSG00000099800",29.1199
"112","chr6",5102827,5261172,"LYRM4","ENSG00000214113",29.009
"113","chr11",59573608,59578345,"MRPL16","ENSG00000166902",28.9266
"114","chr22",19419425,19423598,"MRPL40","ENSG00000185608",28.9054
"115","chrX",153051221,153059978,"IDH3G","ENSG00000067829",28.8516
"116","chr1",161284047,161332984,"SDHC","ENSG00000143252",28.8474
"117","chr3",179322478,179345435,"NDUFB5","ENSG00000136521",28.7877
"118","chr11",61197514,61215001,"SDHAF2","ENSG00000167985",28.7556
"119","chr12",56660642,56664750,"COQ10A","ENSG00000135469",28.7285
"120","chr21",45553487,45565605,"C21orf33","ENSG00000160221",28.6694
"121","chr22",36863083,36878077,"TXN2","ENSG00000100348",28.4589
"122","chr6",43639040,43655528,"MRPS18A","ENSG00000096080",28.4066
"123","chr8",100885428,100906290,"COX6C","ENSG00000164919",28.397
"124","chr8",125551344,125580751,"NDUFB9","ENSG00000147684",28.397
"125","chr11",47638867,47664175,"MTCH2","ENSG00000109919",28.3243
"126","chr22",42481529,42486959,"NDUFA6","ENSG00000184983",28.3203
"127","chr3",48894369,48936426,"SLC25A20","ENSG00000178537",28.3039
"128","chr4",78783674,78873944,"MRPL1","ENSG00000169288",28.231
"129","chr19",7991603,8008805,"TIMM44","ENSG00000104980",28.2265
"130","chr3",119373360,119396301,"COX17","ENSG00000138495",28.1846
"131","chr1",19923477,19956314,"MINOS1","ENSG00000173436",28.1846
"132","chr6",160090089,160183561,"SOD2","ENSG00000112096",28.1817
"133","chr19",36139125,36149763,"COX6B1","ENSG00000126267",28.175
"134","chr5",133307565,133340824,"VDAC1","ENSG00000073905",28.175
"135","chr19",6361463,6368919,"CLPP","ENSG00000125656",28.0803
"136","chr4",108910870,108956331,"HADH","ENSG00000138796",28.0734
"137","chr2",211052663,211090215,"ACADL","ENSG00000115361",28.0206
"138","chr11",107992243,108018503,"ACAT1","ENSG00000075239",28.0146
"139","chr7",23338358,23351348,"MALSU1","ENSG00000156928",27.9861
"140","chr15",65440557,65477680,"CLPX","ENSG00000166855",27.9372
"141","chr5",52856463,52979168,"NDUFS4","ENSG00000164258",27.8713
"142","chr19",10362577,10370721,"MRPL4","ENSG00000105364",27.8641
"143","chr17",5336097,5352150,"C1QBP","ENSG00000108561",27.8211
"144","chr10",3179920,3215003,"PITRM1","ENSG00000107959",27.8125
"145","chr20",33890369,33999944,"UQCC1","ENSG00000101019",27.746
"146","chr1",228294380,228297013,"MRPL55","ENSG00000162910",27.7157
"147","chr17",34958001,34965407,"MRM1","ENSG00000129282",27.7075
"148","chr1",29519385,29557454,"MECR","ENSG00000116353",27.6896
"149","chr2",224822121,224832431,"MRPL44","ENSG00000135900",27.6748
"150","chr9",115142217,115234690,"HSDL2","ENSG00000119471",27.6655
"151","chr1",174979925,174992561,"MRPS14","ENSG00000120333",27.6264
"152","chr7",150725510,150744869,"ABCB8","ENSG00000197150",27.5425
"153","chr17",17880723,17942523,"ATPAF2","ENSG00000171953",27.4512
"154","chr12",4758261,4798454,"NDUFA9","ENSG00000139180",27.4053
"155","chr1",234509202,234519795,"COA6","ENSG00000168275",27.3818
"156","chr19",617223,633597,"POLRMT","ENSG00000099821",27.372
"157","chr12",108956358,108963160,"ISCU","ENSG00000136003",27.3227
"158","chr6",107018903,107077373,"RTN4IP1","ENSG00000130347",27.2801
"159","chr10",50942689,50970425,"OGDHL","ENSG00000197444",27.2563
"160","chr10",7830092,7849778,"ATP5C1","ENSG00000165629",27.2465
"161","chr16",31117428,31124110,"BCKDK","ENSG00000103507",27.1808
"162","chr5",74017029,74063196,"GFM2","ENSG00000164347",27.1233
"163","chr6",97337189,97345757,"NDUFAF4","ENSG00000123545",27.0562
"164","chr17",8191081,8198661,"SLC25A35","ENSG00000125434",27.053
"165","chr17",4840425,4843546,"SLC25A11","ENSG00000108528",27.0399
"166","chr11",111955524,111957522,"TIMM8B","ENSG00000150779",27.0399
"167","chr22",43528212,43539400,"MCAT","ENSG00000100294",26.9414
"168","chr1",228353516,228369958,"IBA57","ENSG00000181873",26.9414
"169","chr12",7074490,7079988,"PHB2","ENSG00000215021",26.919
"170","chr1",155657751,155708801,"DAP3","ENSG00000132676",26.8817
"171","chr16",81009698,81053875,"CMC2","ENSG00000103121",26.8622
"172","chr19",36486090,36487220,"SDHAF1","ENSG00000205138",26.7868
